paper_id,author_id
bccb4ff16f52113a93cde7025a82f581695beb19,1772133
bccb4ff16f52113a93cde7025a82f581695beb19,1701130
23ffaa0fe06eae05817f527a47ac3291077f9e58,2574060
23ffaa0fe06eae05817f527a47ac3291077f9e58,2657155
23ffaa0fe06eae05817f527a47ac3291077f9e58,2054165706
23ffaa0fe06eae05817f527a47ac3291077f9e58,1789737
23ffaa0fe06eae05817f527a47ac3291077f9e58,3282833
bd3d145d79a45bcf99d92bdbc475ed6a629f318a,2115693248
bd3d145d79a45bcf99d92bdbc475ed6a629f318a,2213690868
bd3d145d79a45bcf99d92bdbc475ed6a629f318a,2224462204
bd3d145d79a45bcf99d92bdbc475ed6a629f318a,46396336
bd3d145d79a45bcf99d92bdbc475ed6a629f318a,2118439046
bd3d145d79a45bcf99d92bdbc475ed6a629f318a,2263219
71b676fdf3ee3eec9c11089a957e55749a8334d5,2068343122
71b676fdf3ee3eec9c11089a957e55749a8334d5,1410066063
acbd6dd44d021d5a11a404375257c59eff0ec183,2047463680
acbd6dd44d021d5a11a404375257c59eff0ec183,2624177
acbd6dd44d021d5a11a404375257c59eff0ec183,1752172
937229089e239bae8cec46db12bb5cd170dd7764,2052900336
937229089e239bae8cec46db12bb5cd170dd7764,34928812
937229089e239bae8cec46db12bb5cd170dd7764,2633037
d88af0f7552d738bffce9815ee3e43901ea86067,1717133
a3967f1a6f2bc027c18538f3c3fc3cdc09c5d298,1772133
a3967f1a6f2bc027c18538f3c3fc3cdc09c5d298,1701130
838cc3cc4cfc27b4df2f4e49829bf59f858fbf69,153686780
38d7619976df493ccf7b97a564a5d7b4bc60f361,37682821
38d7619976df493ccf7b97a564a5d7b4bc60f361,1772363
